controlNumber,prefLabel,scopeNote
355052,100-talet,Allmänt kronologiskt ämnesord.
355046,100-talet f.Kr.,Används för åren 199-100 f.Kr. | Allmänt kronologiskt ämnesord.
355062,1000-talet,Allmänt kronologiskt ämnesord.
395918,"1040-256 f.Kr. (Zhoudynastin, Kina)",Kronologiskt ämnesord för Kina.
401115,-1066 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
355788,1066-1485 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
168917,11 september-attackerna 2001,
352075,11 september-attackerna 2001 i konsten,
351307,11 september-attackerna 2001 i litteraturen,
224324,11 september-attackerna 2001 i massmedia,
355063,1100-talet,Allmänt kronologiskt ämnesord.
355064,1200-talet,Allmänt kronologiskt ämnesord.
355772,"1200-talet-1809 (svensktiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
355065,1300-talet,Allmänt kronologiskt ämnesord.
395836,"1368-1644 (Mingdynastin, Kina)",Kronologiskt ämnesord för Kina.
355786,"1399-1485 (Lancaster och York, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
355066,1400-talet,Allmänt kronologiskt ämnesord.
400113,1479-1516 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
357828,"1485-1603 (Tudortiden, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
355083,1500-1800,Allmänt kronologiskt ämnesord.
355067,1500-talet,Allmänt kronologiskt ämnesord.
357830,"1509-1547 (Henrik VIII, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
400114,1516-1700 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
357849,1517-1648 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
398954,1517-1882 (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
399994,"1520-1611 (Vasatiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
355777,"1520-1611 (Vasatiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.
357831,"1558-1603 (Elisabet I, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
299002,"1600-1868 (Edoperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
355068,1600-talet,Allmänt kronologiskt ämnesord.
357832,"1603-1714 (Stuarttiden, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
400004,"1611-1718 (stormaktstiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
355778,"1611-1718 (stormaktstiden, Sverige)",Kronologiskt ämnesord för Sverige. Kompletterarmed geografiskt ämnesord.
357833,"1642-1660 (Puritanska revolutionen, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
395867,"1644-1912 (Qingdynastin, Kina)",Kronologiskt ämnesord för Kina. Kompletteras med geografiskt ämnesord.
357850,1648-1806 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
400011,"1654-1718 (karolinska tiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
355779,"1654-1718 (karolinska tiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.
357834,1660-1714 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
286810,16PF,
402696,"1700- (Bourbon, Spanien)",Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
355074,1700-talet,Allmänt kronologiskt ämnesord.
357835,1714-1815 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
400013,"1718-1772 (frihetstiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
355781,"1718-1772 (frihetstiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.
400017,"1772-1809 (gustavianska tiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
355784,"1772-1809 (gustavianska tiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.
139402,"-1789 (ancien régime, Frankrike)",
355075,1789-1815,Allmänt kronologiskt ämnesord.
150901,"1799-1815 (konsulatet och kejsardömet, Frankrike)",
357836,1800-1914 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
355084,1800-talet,Allmänt kronologiskt ämnesord.
357851,1806-1870 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
355785,"1809-1917 (kejsartiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.
346871,1812 års krig,
286344,1812 års politik (Sverige),
402698,"1814-1830 (restaurationen, Frankrike)",
357837,"1837-1901 (Viktoria, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.
384199,1850-talet,
139431,"1852-1870 (andra kejsardömet, Frankrike)",
405506,1861-1912 (Kina),Kronologiskt ämnesord för Kina.
398849,-1868 (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
398831,1868- (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
398850,"1868-1912 (Meijiperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
355086,1870-1914,Allmänt kronologiskt ämnesord.
357852,"1870-1918 (andra kejsardömet, Tyskland)",Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
159704,"1870-1940 (tredje republiken, Frankrike)",
ct2vjwm09lvb4hld,"1878-1960 (Brittiska väldet, Cypern)",Kronologiskt ämnesord för Cypern. Komplettera med geografiskt ämnesord.
355087,1880-talet,Allmänt kronologiskt ämnesord.
398956,"1882-1936 (Brittisk ockupation, Egypten)",Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.
355088,1890-talet,Allmänt kronologiskt ämnesord.
355090,1900-1945,Allmänt kronologiskt ämnesord.
355089,1900-talet,Allmänt kronologiskt ämnesord.
355092,1910-talet,Allmänt kronologiskt ämnesord.
398854,1912-1945 (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
395872,"1912-1949 (Republiken Kina, Kina)",Kronologiskt ämnesord för Kina
355093,1914-1918 (första världskriget),"Allmänt kronologiskt ämnesord. | För verk om själva kriget, se det allmänna ämnesordet Första världskriget 1914-1918."
357853,"1918-1933 (Weimarrepubliken, Tyskland)",Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
355094,1918-1939 (mellankrigstiden),Allmänt kronologiskt ämnesord.
355095,1920-talet,Allmänt kronologiskt ämnesord.
398860,"1926-1989 (Showaperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.
395875,1928-1937 (Kina),
355096,1930-talet,Allmänt kronologiskt ämnesord.
400120,1931-1939 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.
357854,1933-1945 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
395876,"1937-1945 (kinesisk-japanska kriget 1937-1945, Kina)",Kronologiskt ämnesord för Kina. Se även det allmänna ämnesordet Kinesisk-japanska kriget 1937-1945.
355098,1939-1945 (andra världskriget),"Allmänt kronologiskt ämnesord. | För verk om själva kriget, se det allmänna ämnesordet Andra världskriget (1939-1945)."
385171,"1939-1975 (Francoepoken, Spanien)",Kronologiskt ämnesord för Spanien. Kompletteras med geografiskt ämnesord.
355099,1940-talet,Allmänt kronologiskt ämnesord.
355100,1945-,Allmänt kronologiskt ämnesord.
355101,1945-1970,Allmänt kronologiskt ämnesord.
355102,1945-1990,Allmänt kronologiskt ämnesord.
401966,1945-1990 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.
